data,descricao,categoria,valor,tipo
2026-06-01,Cartão Bradesco - Estacionamento palladi,Transporte,19.00,saida
2026-06-01,Cartão Bradesco - Figma,Assinaturas,104.60,saida
2026-06-01,Cartão Bradesco - Helpmaxcom 12/12,Assinaturas,29.90,saida
2026-06-01,Cartão Bradesco - IFD NSA Confeitaria,Alimentação,37.59,saida
2026-06-01,Cartão Bradesco - IOF adicional sobre parcelado 3/8,Cartão de Crédito,1.20,saida
2026-06-01,Cartão Bradesco - IOF adicional sobre parcelado 4/8,Cartão de Crédito,1.20,saida
2026-06-01,Cartão Bradesco - IOF adicional sobre parcelado 5/8,Cartão de Crédito,1.20,saida
2026-06-01,Cartão Bradesco - IOF adicional sobre parcelado 6/8,Cartão de Crédito,1.20,saida
2026-06-01,Cartão Bradesco - IOF adicional sobre parcelado 7/8,Cartão de Crédito,1.20,saida
2026-06-01,Cartão Bradesco - IOF adicional sobre parcelado 8/8,Cartão de Crédito,1.26,saida
2026-06-01,Cartão Bradesco - IOF diário sobre parcelado 3/8,Cartão de Crédito,2.03,saida
2026-06-01,Cartão Bradesco - IOF diário sobre parcelado 4/8,Cartão de Crédito,2.96,saida
2026-06-01,Cartão Bradesco - IOF diário sobre parcelado 5/8,Cartão de Crédito,4.09,saida
2026-06-01,Cartão Bradesco - IOF diário sobre parcelado 6/8,Cartão de Crédito,5.40,saida
2026-06-01,Cartão Bradesco - IOF diário sobre parcelado 7/8,Cartão de Crédito,6.90,saida
2026-06-01,Cartão Bradesco - IOF diário sobre parcelado 8/8,Cartão de Crédito,8.68,saida
2026-06-01,Cartão Bradesco - IOF transação exterior,Impostos / Taxas,3.63,saida
2026-06-01,Cartão Bradesco - Lumae Pratas 1/5,Compras,102.80,saida
2026-06-01,Cartão Bradesco - Mercadoemercearia,Alimentação,66.46,saida
2026-06-01,Cartão Bradesco - Mp*alissonalvesb,Compras,28.00,saida
2026-06-01,Cartão Bradesco - OpenAI ChatGPT Subscription,Assinaturas,103.80,saida
2026-06-01,Cartão Bradesco - Parc.Facil 3/8,Cartão de Crédito,266.42,saida
2026-06-01,Cartão Bradesco - Parc.Facil 4/8,Cartão de Crédito,292.19,saida
2026-06-01,Cartão Bradesco - Parc.Facil 5/8,Cartão de Crédito,320.39,saida
2026-06-01,Cartão Bradesco - Parc.Facil 6/8,Cartão de Crédito,351.33,saida
2026-06-01,Cartão Bradesco - Parc.Facil 7/8,Cartão de Crédito,385.26,saida
2026-06-01,Cartão Bradesco - Parc.Facil 8/8,Cartão de Crédito,422.34,saida
2026-06-01,Cartão Bradesco - Parkshopping barigui,Transporte,21.50,saida
2026-06-01,Cartão Bradesco - Posto mantra barigui,Transporte,73.90,saida
2026-06-01,Cartão Bradesco - Shp - guest e c a come,Alimentação,12.00,saida
2026-06-01,Cartão Bradesco - Supermercado Colatusso,Alimentação,18.56,saida
2026-06-01,Cartão Bradesco - Supermrcado colatusso,Alimentação,9.20,saida
2026-06-01,Cartão Bradesco - Supermrcado colatusso,Alimentação,10.19,saida
2026-06-01,Cartão Bradesco - TotalPass,Saúde,139.90,saida
2026-06-01,Cartão Bradesco - TotalPass,Saúde,119.90,saida
2026-06-01,Cartão Bradesco - Tropical banana pallad,Alimentação,14.90,saida
2026-06-01,Cartão Bradesco - Uber Trip,Transporte,16.75,saida
2026-06-01,Cartão Bradesco - Uber Trip,Transporte,50.82,saida
2026-06-01,Cartão Bradesco - Uber Trip,Transporte,36.58,saida
2026-06-01,Cartão Bradesco - Vmt*happy mac,Compras,5.00,saida
2026-06-01,Cartão Bradesco - rmlminimercado,Compras,8.00,saida
2026-06-01,PicPay - Dm*hostingercoparc05/12 5/12,Compras,48.60,saida
2026-06-01,PicPay - Ebn *tiktokparc02/04 2/4,Compras,45.83,saida
2026-06-01,PicPay - Shop Mi*shop Mparc02/10 2/10,Compras,11.97,saida
2026-06-01,PicPay - Shopee *iparc02/05 2/5,Compras,55.31,saida
2026-06-01,PicPay - Shopee *vparc02/04 2/4,Compras,48.37,saida
2026-06-01,PicPay - Shopee*xiangleparc02/02 2/2,Compras,43.28,saida
2026-06-05,Salário - MPS Informática (Salário cheio estimado com base no valor informado e descontos proporcionais do contracheque parcial.),Salário,5456.18,entrada
2026-06-05,Casa 5/420 - Casa,Moradia,1654.61,saida
2026-06-07,Celular - Marjory,Celular,537.00,entrada
2026-06-09,Casa - Luis Carlos,Casa,900.00,entrada
2026-06-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2026-06-10,Curso de inglês 10/24 - Curso de Inglês,Educação,218.00,saida
2026-06-23,Ademicon 2/220 - Ademicon,Consórcio / Investimento,269.84,saida
2026-06-23,Financiamento / parcela do carro 23/48 - Financiamento Carro,Transporte,1801.02,saida
2026-06-23,Seguro do carro 23/48 - Seguro Carro,Seguro,178.49,saida
2026-07-01,Cartão Bradesco - 57008951matheus 2/4,Compras,537.00,saida
2026-07-01,Cartão Bradesco - Apple.com/bill,Assinaturas,19.90,saida
2026-07-01,Cartão Bradesco - Bonsai Editora e Comer 11/12,Compras,112.00,saida
2026-07-01,Cartão Bradesco - Cacau Show 3/3,Alimentação,86.65,saida
2026-07-01,Cartão Bradesco - Dom Comercio D 6/10,Compras,350.00,saida
2026-07-01,Cartão Bradesco - Figma,Assinaturas,104.60,saida
2026-07-01,Cartão Bradesco - Lumae Pratas 2/5,Compras,102.80,saida
2026-07-01,Cartão Bradesco - OpenAI ChatGPT Subscription,Assinaturas,103.80,saida
2026-07-01,Cartão Bradesco - TotalPass,Saúde,139.90,saida
2026-07-01,Cartão Bradesco - TotalPass,Saúde,119.90,saida
2026-07-01,PicPay - Dm*hostingercoparc 6/12,Compras,48.60,saida
2026-07-01,PicPay - Ebn *tiktokparc 3/4,Compras,45.83,saida
2026-07-01,PicPay - Shop Mi*shop Mparc 3/10,Compras,11.97,saida
2026-07-01,PicPay - Shopee *iparc 3/5,Compras,55.31,saida
2026-07-01,PicPay - Shopee *vparc 3/4,Compras,48.37,saida
2026-07-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2026-07-05,Casa 6/420 - Casa,Moradia,1654.61,saida
2026-07-07,Celular - Marjory,Celular,537.00,entrada
2026-07-09,Casa - Luis Carlos,Casa,900.00,entrada
2026-07-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2026-07-10,Curso de inglês 11/24 - Curso de Inglês,Educação,218.00,saida
2026-07-23,Ademicon 3/220 - Ademicon,Consórcio / Investimento,269.84,saida
2026-07-23,Financiamento / parcela do carro 24/48 - Financiamento Carro,Transporte,1801.02,saida
2026-07-23,Seguro do carro 24/48 - Seguro Carro,Seguro,178.49,saida
2026-08-01,Cartão Bradesco - 57008951matheus 3/4,Compras,537.00,saida
2026-08-01,Cartão Bradesco - Apple.com/bill,Assinaturas,19.90,saida
2026-08-01,Cartão Bradesco - Bonsai Editora e Comer 12/12,Compras,112.00,saida
2026-08-01,Cartão Bradesco - Dom Comercio D 7/10,Compras,350.00,saida
2026-08-01,Cartão Bradesco - Figma,Assinaturas,104.60,saida
2026-08-01,Cartão Bradesco - Lumae Pratas 3/5,Compras,102.80,saida
2026-08-01,Cartão Bradesco - OpenAI ChatGPT Subscription,Assinaturas,103.80,saida
2026-08-01,Cartão Bradesco - TotalPass,Saúde,139.90,saida
2026-08-01,Cartão Bradesco - TotalPass,Saúde,119.90,saida
2026-08-01,PicPay - Dm*hostingercoparc 7/12,Compras,48.60,saida
2026-08-01,PicPay - Ebn *tiktokparc 4/4,Compras,45.83,saida
2026-08-01,PicPay - Shop Mi*shop Mparc 4/10,Compras,11.97,saida
2026-08-01,PicPay - Shopee *iparc 4/5,Compras,55.31,saida
2026-08-01,PicPay - Shopee *vparc 4/4,Compras,48.37,saida
2026-08-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2026-08-05,Casa 7/420 - Casa,Moradia,1654.61,saida
2026-08-07,Celular - Marjory,Celular,537.00,entrada
2026-08-09,Casa - Luis Carlos,Casa,900.00,entrada
2026-08-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2026-08-10,Curso de inglês 12/24 - Curso de Inglês,Educação,218.00,saida
2026-08-23,Ademicon 4/220 - Ademicon,Consórcio / Investimento,269.84,saida
2026-08-23,Financiamento / parcela do carro 25/48 - Financiamento Carro,Transporte,1801.02,saida
2026-08-23,Seguro do carro 25/48 - Seguro Carro,Seguro,178.49,saida
2026-09-01,Cartão Bradesco - 57008951matheus 4/4,Compras,537.00,saida
2026-09-01,Cartão Bradesco - Apple.com/bill,Assinaturas,19.90,saida
2026-09-01,Cartão Bradesco - Dom Comercio D 8/10,Compras,350.00,saida
2026-09-01,Cartão Bradesco - Figma,Assinaturas,104.60,saida
2026-09-01,Cartão Bradesco - Lumae Pratas 4/5,Compras,102.80,saida
2026-09-01,Cartão Bradesco - OpenAI ChatGPT Subscription,Assinaturas,103.80,saida
2026-09-01,Cartão Bradesco - TotalPass,Saúde,139.90,saida
2026-09-01,Cartão Bradesco - TotalPass,Saúde,119.90,saida
2026-09-01,PicPay - Dm*hostingercoparc 8/12,Compras,48.60,saida
2026-09-01,PicPay - Shop Mi*shop Mparc 5/10,Compras,11.97,saida
2026-09-01,PicPay - Shopee *iparc 5/5,Compras,55.31,saida
2026-09-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2026-09-05,Casa 8/420 - Casa,Moradia,1654.61,saida
2026-09-07,Celular - Marjory,Celular,537.00,entrada
2026-09-09,Casa - Luis Carlos,Casa,900.00,entrada
2026-09-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2026-09-10,Curso de inglês 13/24 - Curso de Inglês,Educação,218.00,saida
2026-09-23,Ademicon 5/220 - Ademicon,Consórcio / Investimento,269.84,saida
2026-09-23,Financiamento / parcela do carro 26/48 - Financiamento Carro,Transporte,1801.02,saida
2026-09-23,Seguro do carro 26/48 - Seguro Carro,Seguro,178.49,saida
2026-10-01,Cartão Bradesco - Apple.com/bill,Assinaturas,19.90,saida
2026-10-01,Cartão Bradesco - Dom Comercio D 9/10,Compras,350.00,saida
2026-10-01,Cartão Bradesco - Figma,Assinaturas,104.60,saida
2026-10-01,Cartão Bradesco - Lumae Pratas 5/5,Compras,102.80,saida
2026-10-01,Cartão Bradesco - OpenAI ChatGPT Subscription,Assinaturas,103.80,saida
2026-10-01,Cartão Bradesco - TotalPass,Saúde,139.90,saida
2026-10-01,Cartão Bradesco - TotalPass,Saúde,119.90,saida
2026-10-01,PicPay - Dm*hostingercoparc 9/12,Compras,48.60,saida
2026-10-01,PicPay - Shop Mi*shop Mparc 6/10,Compras,11.97,saida
2026-10-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2026-10-05,Casa 9/420 - Casa,Moradia,1654.61,saida
2026-10-09,Casa - Luis Carlos,Casa,900.00,entrada
2026-10-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2026-10-10,Curso de inglês 14/24 - Curso de Inglês,Educação,218.00,saida
2026-10-23,Ademicon 6/220 - Ademicon,Consórcio / Investimento,269.84,saida
2026-10-23,Financiamento / parcela do carro 27/48 - Financiamento Carro,Transporte,1801.02,saida
2026-10-23,Seguro do carro 27/48 - Seguro Carro,Seguro,178.49,saida
2026-11-01,Cartão Bradesco - Apple.com/bill,Assinaturas,19.90,saida
2026-11-01,Cartão Bradesco - Dom Comercio D 10/10,Compras,350.00,saida
2026-11-01,Cartão Bradesco - Figma,Assinaturas,104.60,saida
2026-11-01,Cartão Bradesco - OpenAI ChatGPT Subscription,Assinaturas,103.80,saida
2026-11-01,Cartão Bradesco - TotalPass,Saúde,139.90,saida
2026-11-01,Cartão Bradesco - TotalPass,Saúde,119.90,saida
2026-11-01,PicPay - Dm*hostingercoparc 10/12,Compras,48.60,saida
2026-11-01,PicPay - Shop Mi*shop Mparc 7/10,Compras,11.97,saida
2026-11-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2026-11-05,Casa 10/420 - Casa,Moradia,1654.61,saida
2026-11-09,Casa - Luis Carlos,Casa,900.00,entrada
2026-11-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2026-11-10,Curso de inglês 15/24 - Curso de Inglês,Educação,218.00,saida
2026-11-23,Ademicon 7/220 - Ademicon,Consórcio / Investimento,269.84,saida
2026-11-23,Financiamento / parcela do carro 28/48 - Financiamento Carro,Transporte,1801.02,saida
2026-11-23,Seguro do carro 28/48 - Seguro Carro,Seguro,178.49,saida
2026-12-01,Cartão Bradesco - Apple.com/bill,Assinaturas,19.90,saida
2026-12-01,Cartão Bradesco - Figma,Assinaturas,104.60,saida
2026-12-01,Cartão Bradesco - OpenAI ChatGPT Subscription,Assinaturas,103.80,saida
2026-12-01,Cartão Bradesco - TotalPass,Saúde,139.90,saida
2026-12-01,Cartão Bradesco - TotalPass,Saúde,119.90,saida
2026-12-01,PicPay - Dm*hostingercoparc 11/12,Compras,48.60,saida
2026-12-01,PicPay - Shop Mi*shop Mparc 8/10,Compras,11.97,saida
2026-12-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2026-12-05,Casa 11/420 - Casa,Moradia,1654.61,saida
2026-12-09,Casa - Luis Carlos,Casa,900.00,entrada
2026-12-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2026-12-10,Curso de inglês 16/24 - Curso de Inglês,Educação,218.00,saida
2026-12-23,Ademicon 8/220 - Ademicon,Consórcio / Investimento,269.84,saida
2026-12-23,Financiamento / parcela do carro 29/48 - Financiamento Carro,Transporte,1801.02,saida
2026-12-23,Seguro do carro 29/48 - Seguro Carro,Seguro,178.49,saida
2027-01-01,Cartão Bradesco - Apple.com/bill,Assinaturas,19.90,saida
2027-01-01,Cartão Bradesco - Figma,Assinaturas,104.60,saida
2027-01-01,Cartão Bradesco - OpenAI ChatGPT Subscription,Assinaturas,103.80,saida
2027-01-01,Cartão Bradesco - TotalPass,Saúde,139.90,saida
2027-01-01,Cartão Bradesco - TotalPass,Saúde,119.90,saida
2027-01-01,PicPay - Dm*hostingercoparc 12/12,Compras,48.60,saida
2027-01-01,PicPay - Shop Mi*shop Mparc 9/10,Compras,11.97,saida
2027-01-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2027-01-05,Casa 12/420 - Casa,Moradia,1654.61,saida
2027-01-09,Casa - Luis Carlos,Casa,900.00,entrada
2027-01-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2027-01-10,Curso de inglês 17/24 - Curso de Inglês,Educação,218.00,saida
2027-01-23,Ademicon 9/220 - Ademicon,Consórcio / Investimento,269.84,saida
2027-01-23,Financiamento / parcela do carro 30/48 - Financiamento Carro,Transporte,1801.02,saida
2027-01-23,Seguro do carro 30/48 - Seguro Carro,Seguro,178.49,saida
2027-02-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2027-02-05,Casa 13/420 - Casa,Moradia,1654.61,saida
2027-02-09,Casa - Luis Carlos,Casa,900.00,entrada
2027-02-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2027-02-10,Curso de inglês 18/24 - Curso de Inglês,Educação,218.00,saida
2027-02-23,Ademicon 10/220 - Ademicon,Consórcio / Investimento,269.84,saida
2027-02-23,Financiamento / parcela do carro 31/48 - Financiamento Carro,Transporte,1801.02,saida
2027-02-23,Seguro do carro 31/48 - Seguro Carro,Seguro,178.49,saida
2027-03-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2027-03-05,Casa 14/420 - Casa,Moradia,1654.61,saida
2027-03-09,Casa - Luis Carlos,Casa,900.00,entrada
2027-03-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2027-03-10,Curso de inglês 19/24 - Curso de Inglês,Educação,218.00,saida
2027-03-23,Ademicon 11/220 - Ademicon,Consórcio / Investimento,269.84,saida
2027-03-23,Financiamento / parcela do carro 32/48 - Financiamento Carro,Transporte,1801.02,saida
2027-03-23,Seguro do carro 32/48 - Seguro Carro,Seguro,178.49,saida
2027-04-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2027-04-05,Casa 15/420 - Casa,Moradia,1654.61,saida
2027-04-09,Casa - Luis Carlos,Casa,900.00,entrada
2027-04-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2027-04-10,Curso de inglês 20/24 - Curso de Inglês,Educação,218.00,saida
2027-04-23,Ademicon 12/220 - Ademicon,Consórcio / Investimento,269.84,saida
2027-04-23,Financiamento / parcela do carro 33/48 - Financiamento Carro,Transporte,1801.02,saida
2027-04-23,Seguro do carro 33/48 - Seguro Carro,Seguro,178.49,saida
2027-05-05,Salário - MPS Informática (Projeção com dissídio estimado; ajuste quando vier o holerite definitivo.),Salário,5640.45,entrada
2027-05-05,Casa 16/420 - Casa,Moradia,1654.61,saida
2027-05-09,Casa - Luis Carlos,Casa,900.00,entrada
2027-05-10,"Assinaturas - BeTre (Figma, Chat GPT e Hostinger)",Assinaturas,171.34,entrada
2027-05-10,Curso de inglês 21/24 - Curso de Inglês,Educação,218.00,saida
2027-05-23,Ademicon 13/220 - Ademicon,Consórcio / Investimento,269.84,saida
2027-05-23,Financiamento / parcela do carro 34/48 - Financiamento Carro,Transporte,1801.02,saida
2027-05-23,Seguro do carro 34/48 - Seguro Carro,Seguro,178.49,saida
